num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
11043932,7423,2022-12-09,1193057,11632,1,314,11,338
9611054,7094,2022-05-25,682563,9199,9,342,28,357
9706364,7141,2022-07-28,778474,11052,9,663,18,350
8161114,5883,2021-08-04,362559,10167,12,167,17,241
9006962,6538,2022-02-24,365299,5626,5,353,5,281
9567039,7049,2022-05-20,716126,8575,1,291,15,475
11207932,7456,2022-12-15,1163585,11830,5,343,10,243
9790945,7188,2022-08-22,699771,9420,4,219,17,402
8748115,6400,2021-11-03,495441,10251,7,505,78,583
10784966,7435,2022-11-01,1066704,12232,16,70,27,681
6130131,5493,2021-03-07,111530,2155,0,9,1,1
9222456,6780,2022-03-25,551946,8509,1,299,14,464
11257487,7483,2022-12-21,1148041,11088,12172,11226,8,30
9379043,6943,2022-05-03,587198,8136,12,281,20,412
9553492,7150,2022-06-21,688987,9651,6,363,11,402
9241103,6710,2022-03-16,525501,8404,3,429,10,392
7924023,5684,2021-05-11,237288,7290,10,49,20,176
9657548,7179,2022-08-15,708541,9593,8,347,24,387
7240813,5570,2021-03-16,111984,2365,7,10,43,79
9036400,6580,2022-01-08,397965,7814,0,110,0,124
8791061,6440,2021-11-09,459523,10409,8,1920,22,416
8746720,6241,2021-10-14,419701,10300,8,210,48,398
9879678,7200,2022-08-11,759781,9449,11,451,16,453
7999050,5688,2021-05-28,264881,10681,2,44,2,45
7296236,5612,2021-03-22,131041,2901,6,61,4,36
8624936,6216,2021-10-06,415848,10472,18,124,22,294
8254414,6170,2021-09-08,420352,10672,9,88,23,520
8080139,5754,2021-06-25,303596,10490,0,82,12,44
9746266,7200,2022-08-13,740342,9053,0,248,1,280
9479989,7017,2022-07-03,646456,9353,0,334,0,298
8257201,6209,2021-09-14,431839,10847,5,137,38,260
9992797,7193,2022-08-23,750231,9543,7,411,8,316
9730910,7158,2022-08-03,747199,9985,19,316,29,471
9599317,7078,2022-05-27,685482,8804,0,177,3,143
9242291,6849,2022-04-07,541988,7918,4,367,8,320
8150700,5881,2021-08-03,351823,9999,3,110,13,111
7604293,5674,2021-04-14,184691,5091,12,185,23,41
9687682,7031,2022-06-30,735993,9869,0,350,15,407
8687387,6477,2021-11-28,442331,7837,10,97,0,69
9007052,6575,2022-01-26,382715,6807,6,332,15,552
8790634,6324,2021-10-27,464101,10384,16,263,22,403
9766056,7162,2022-08-02,730020,10219,12,510,4,321
