num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
10031763,7223,2022-08-26,741090,9453,1,338,13,435
8108754,5863,2021-08-02,337677,9946,4,134,11,119
9665378,7136,2022-07-31,725223,10608,5,1035,3,301
10717832,7424,2022-10-28,1097228,12217,1,528,23,599
10387930,7308,2022-10-04,870319,10727,16,494,19,890
9643140,7118,2022-07-26,737691,10587,33,563,8,188
8053100,5706,2021-06-10,329734,11574,6,66,27,558
10673110,7401,2022-10-22,1022629,11419,0,368,1,325
10659948,7359,2022-10-20,1054612,11535,10,469,18,527
10784706,7414,2022-11-27,1048001,11066,4,37,1,25
9234893,6906,2022-05-02,551333,7774,4,303,9,360
9328124,6940,2022-05-09,605506,8852,5,328,15,528
11008931,7420,2022-12-12,1119497,11536,1,368,20,441
9254940,6875,2022-04-16,594184,8710,0,333,1,300
7972167,5674,2021-05-30,250712,10605,2,227,2,448
9618609,7106,2022-06-23,728931,9624,3,447,17,451
9426195,7036,2022-05-14,621284,8523,0,341,12,425
8839893,6522,2021-12-09,443513,8098,12,273,17,337
8752849,6493,2021-11-25,456938,7919,2,142,6,110
8648915,6453,2021-11-14,443890,9484,7,333,2,605
9871503,7210,2022-08-20,722754,9149,3,352,3,379
10642799,7413,2022-10-30,1036759,12187,4,520,1,324
10818512,7425,2022-12-05,1097698,11554,7,337,19,367
10112100,7236,2022-09-11,766639,9107,3,322,2,253
8704208,6479,2021-11-22,448079,7973,2,70,10,109
9007036,6574,2022-01-27,382426,6772,3,370,11,443
8704550,6480,2021-11-27,447015,7849,0,71,0,77
9440852,7048,2022-05-17,661850,8798,7,380,25,424
8919429,6556,2021-12-26,407179,7945,0,85,1,56
10912659,7411,2022-12-03,1105358,11015,10,217,0,206
9641329,7046,2022-07-08,682751,9385,0,383,20,468
9109708,6679,2022-03-04,513563,8503,0,298,8,373
9007036,6574,2022-01-30,380209,6710,2,245,1,217
8174104,6033,2021-08-23,347626,7666,11,60,19,134
9550120,7157,2022-06-17,681202,9388,2,319,27,425
7976499,5651,2021-05-24,270663,11110,12,256,18,446
7792555,5730,2021-05-02,186546,6633,10,188,2,269
10045385,7204,2022-09-06,696453,9347,5,345,17,292
7590868,5667,2021-04-08,188305,4296,7,12,12,332
8709200,6338,2021-10-30,512373,10890,0,248,8,578
8174155,6037,2021-08-24,352589,7756,7,92,16,156
8158468,5876,2021-08-08,418666,10076,1,97,1,107
9887779,7204,2022-08-17,757045,9650,10,436,30,326
9500855,7080,2022-06-02,660767,8553,9,264,15,343
9542016,7035,2022-06-25,737764,9747,1,255,1,276
9367154,6933,2022-04-27,615052,8083,7,505,22,325
9568424,7062,2022-05-19,726915,8963,5,450,4,373
8986031,6570,2022-01-11,415843,7891,3,203,3,220
9409306,7069,2022-05-30,629415,8821,4,405,5,205
8679481,6220,2021-10-11,372639,10192,4,304,2,163
10416620,7309,2022-10-10,837797,11341,3,399,14,415
8124824,5859,2021-08-10,328416,9625,11,226,17,169
7398491,5627,2021-03-30,153928,3887,2,7,32,55
8714263,6296,2021-10-24,439050,10151,1,121,2,211
8124828,5860,2021-08-09,330487,9727,8,101,9,116
7264742,5557,2021-03-13,118988,2196,0,9,21,25
8829838,6514,2021-12-03,443633,8098,2,1,16,577
7491417,5650,2021-04-02,175526,4059,7,102,13,32
9011361,6563,2022-02-08,383549,6285,11,316,23,375
8909660,6540,2021-12-14,420722,7922,9,247,9,218
7594147,5655,2021-04-15,180584,4917,12,11,24,580
9011457,6575,2022-02-01,394760,6649,9,648,10,367
9352757,7041,2022-05-13,647734,8830,2,354,57,291
9011404,6568,2022-02-05,389114,6340,0,231,6,376
10680004,7413,2022-10-26,1027073,11679,4,499,28,619
10127625,7211,2022-09-15,824142,8940,4,368,17,447
8708561,6481,2021-11-26,453297,7859,0,75,0,62
8061495,5771,2021-07-11,325037,9741,5,348,4,363
9120607,6775,2022-03-27,517100,8605,5,241,0,242
9502970,7090,2022-06-05,655977,8858,5,326,2,258
10177961,7227,2022-09-25,825494,10280,4,611,0,0
9226267,6811,2022-03-30,517710,7805,10,927,22,569
8167692,5969,2021-08-14,351118,10191,2,80,7,92
9064085,6675,2022-03-07,586603,8504,9,443,12,325
8683929,6141,2021-09-23,440669,11206,6,169,9,284
10784648,7418,2022-11-02,1057679,12233,17,892,24,478
8506349,6103,2021-09-20,388099,10803,9,97,38,287
7994678,5708,2021-06-14,321163,12531,11,105,16,203
8254306,6131,2021-09-07,409315,10308,21,79,30,127
8112334,5866,2021-08-01,343824,10206,17,294,3,100
9141081,6846,2022-04-12,524157,8181,19,723,12,254
9517133,7134,2022-06-11,679977,9216,0,237,6,272
7810909,5827,2021-07-24,345968,10107,0,22,4,109
7836597,5686,2021-05-09,226907,7734,7,182,3,273
9623409,7063,2022-06-24,742041,9920,0,352,22,352
10794133,7419,2022-11-25,1099910,11068,0,42,4,26
9258730,6894,2022-04-20,605453,8127,4,240,16,350
9017251,6577,2021-12-23,423471,8021,0,192,3,200
6182810,5493,2021-03-06,113227,2130,0,32,23,55
9612052,7190,2022-08-14,711446,9475,4,237,3,307
10664895,7350,2022-10-21,1010433,11590,0,541,71,699
7834097,5704,2021-05-08,241664,7640,0,280,4,216
8002938,5647,2021-05-19,282794,8170,8,136,24,749
8085043,5772,2021-06-22,364432,13244,36,1014,12,119
7793417,5722,2021-05-03,185935,6508,7,384,13,278
10447770,7303,2022-10-05,885831,10527,8,312,22,574
7550158,5660,2021-04-07,184909,4225,0,2,15,60
11145218,7447,2022-12-13,1165074,11492,2,452,23,467
10445168,7306,2022-10-06,910696,10975,14,600,12,388
9678055,7127,2022-08-01,712990,9871,1,266,21,489
10850145,7432,2022-12-04,1088176,11533,10,264,3,191
9094094,6826,2022-04-03,495787,7880,6,210,0,296
8767171,6309,2021-10-23,464113,10244,0,233,4,218
9703753,7189,2022-08-09,779552,9920,4,408,19,461
9729902,7138,2022-08-04,741469,9774,1,448,27,432
8722147,6221,2021-10-08,388902,10436,30,568,3,35
10547209,7316,2022-10-14,945016,10934,0,399,9,510
8706769,6180,2021-09-30,421067,10883,13,145,56,267
8130123,5793,2021-07-14,353006,9532,11,156,10,100
7597988,5677,2021-04-19,180428,5993,10,18,5,40
7798993,5703,2021-04-29,206206,6702,10,28,30,341
8984158,6568,2021-12-16,408293,8071,4,360,33,276
6112639,5489,2021-03-08,109857,2139,16,10,1,1
10604185,7392,2022-10-24,961641,11453,14,378,12,563
9007541,6555,2022-02-12,377304,6108,1,327,2,329
9719867,7142,2022-07-20,758648,11074,5,318,17,288
10523983,7310,2022-10-17,941650,11422,6,426,12,411
8171075,5763,2021-07-08,346536,9322,6,85,14,147
8809852,6513,2021-12-04,462547,8722,0,0,1,228
9011404,6568,2022-02-06,387728,6341,9,252,0,208
8964814,6582,2021-12-17,405594,7951,0,179,9,227
7299674,5563,2021-03-12,126354,2207,4,12,12,115
9478518,6991,2022-06-27,672437,9541,13,385,14,415
8088697,5738,2021-07-06,321760,9954,6,924,13,118
9007255,6546,2022-02-18,369946,5821,3,235,19,327
8039768,5722,2021-06-11,329160,12110,7,175,4,691
9421163,7108,2022-06-13,663745,9219,20,553,17,475
8064540,5984,2021-07-16,331328,9564,0,47,8,161
10622114,7326,2022-10-15,978705,11444,0,724,0,370
9069593,6692,2022-03-14,505189,8316,4,247,8,226
8129959,5869,2021-07-29,370804,10257,19,152,16,173
7203828,5524,2021-03-05,119574,2172,8,22,11,46
9539951,7077,2022-05-22,667320,8785,4,306,2,221
9007255,6546,2022-02-19,368831,5771,0,471,2,157
8252142,6113,2021-09-02,397315,10001,0,192,25,196
8816329,6534,2021-12-08,445150,7979,16,383,10,464
8749946,6410,2021-11-04,468327,10196,5,301,28,339
9010655,6579,2022-01-20,391857,7099,7,236,7,372
8804080,6537,2021-12-12,408974,8038,5,271,4,124
8752132,6487,2021-11-20,473969,8035,0,122,3,94
9007055,6576,2022-01-23,385547,6905,4,194,2,208
9007600,6560,2022-02-09,382319,6253,13,429,16,462
9102565,6673,2022-03-03,517216,8573,3,392,13,316
9431232,6925,2022-05-06,585435,7722,0,160,11,466
8951479,6588,2021-12-18,395633,7953,0,151,0,197
10235600,7256,2022-09-21,819255,9744,28,569,11,517
9470035,7060,2022-05-18,663612,8748,13,292,22,457
9257893,6847,2022-04-10,547979,8111,2,274,1,307
9199912,6834,2022-04-01,519894,8127,0,692,10,527
9753693,7182,2022-08-05,755011,10317,0,492,11,656
7418832,5656,2021-03-31,166160,3936,20,17,16,59
9007259,6548,2022-02-16,373933,6003,9,520,10,438
9477806,6986,2022-06-28,666958,9295,2,536,22,367
7645421,5692,2021-04-17,193877,6029,1,250,19,199
7985048,5705,2021-05-14,258807,7773,5,272,12,157
9299222,7026,2022-05-16,604358,8463,3,351,5,278
9297919,6882,2022-04-24,581747,8146,4,557,2,264
8105558,5682,2021-06-03,285699,11792,12,108,14,103
9871505,7211,2022-08-19,744511,9858,1,902,10,525
9772807,7118,2022-07-16,746441,10689,2,428,0,325
8072229,5766,2021-07-12,329472,9380,7,54,22,116
7716685,5701,2021-04-25,188089,6339,1,8,4,93
8747690,6454,2021-11-11,421461,8789,10,323,13,501
8670120,6145,2021-09-24,421342,11203,1,816,25,185
8174503,6045,2021-08-25,355502,7865,12,113,25,144
7656504,5700,2021-04-23,193366,6032,11,60,17,102
10039055,7230,2022-08-30,748134,9660,13,441,8,438
9609688,7073,2022-05-26,672803,8876,4,321,16,156
8052980,5740,2021-06-28,309337,10670,8,916,23,143
7705029,5692,2021-04-28,192729,6364,19,38,18,140
8648138,6220,2021-10-12,379836,10034,1,102,14,181
7929691,5625,2021-05-17,258074,7961,7,39,20,155
8133426,5760,2021-06-29,333382,9926,11,206,21,233
8174124,6036,2021-08-22,335767,7486,13,133,6,367
9367143,6928,2022-04-28,600114,7674,1,347,14,368
8988377,6569,2021-12-24,440614,8025,0,200,0,156
10090848,7217,2022-09-19,769623,9445,15,330,24,478
11006322,7422,2022-12-11,1159698,11580,3,267,0,195
9394689,7088,2022-06-06,653246,8875,5,387,8,405
,,2021-11-08,,,8,423,14,402
,,2022-11-07,,,9,415,16,477
