call_depth,profile,percent_inferred_total,percent_inferred_known
10.0,ads,32.25069661179567,0.021379842048318443
6.0,ads,48.79615157994904,20.0947267803331
13.0,ads,29.650025913407884,0.0
4.0,ads,9.458190040970885,1.0522522635994793
1.0,ads,0.0,0.0
2.0,ads,7.926862056162634,0.0319842268486952
17.0,ads,4.6875,0.0
14.0,ads,5.503618486174963,0.0
7.0,ads,20.85748483767526,0.05877756909927783
15.0,ads,9.329538266919672,0.0
8.0,ads,17.911768426912275,0.0007590901039953443
18.0,ads,22.727272727272727,0.0
12.0,ads,35.231023495287126,0.0
19.0,ads,0.0,0.0
3.0,ads,11.429219442443461,0.5762310209616214
9.0,ads,22.12968668005566,0.0
5.0,ads,35.67754246291979,16.6152060994928
11.0,ads,10.069078042341863,0.0
16.0,ads,89.09586551567469,0.0
3.0,fetch,6.2077146357469575,0.6787213170600161
6.0,fetch,14.33121944486819,0.5678805180842795
5.0,fetch,30.891560393043864,11.721920291535778
8.0,fetch,14.186851211072666,0.0
2.0,fetch,4.943986738108856,4.628584245823427
7.0,fetch,13.730355665839536,0.3308519437551696
1.0,fetch,0.0,0.0
9.0,fetch,60.416666666666664,0.0
4.0,fetch,44.399210068068804,0.41824476449732323
5.0,raas,21.866914385924563,0.16566524839006438
2.0,raas,0.4962671773131093,0.4176534024429929
9.0,raas,0.0,0.0
4.0,raas,17.894543500870114,0.31403971619129123
3.0,raas,77.9407765732082,1.7065144562851697
6.0,raas,0.771345054753283,0.3568779721652633
7.0,raas,7.727509100364014,0.0
1.0,raas,0.0,0.0
8.0,raas,6.3439065108514185,0.0
