service_type,service_id,num_instances,num_fan_out_reg,num_fan_in_reg,num_fan_out_ill,num_fan_in_ill,num_fan_in_all,num_fan_out_all
regular,00068,384,27,20,0,0,20,27
regular,00069,12,20,23,0,0,23,20
regular,00070,192,24,19,0,0,19,24
regular,00071,16,16,10,0,0,10,16
regular,00072,28,10,6,0,0,6,10
regular,00073,382,33,32,0,0,32,33
regular,00074,1124,42,40,0,0,40,42
regular,00075,19,17,14,0,0,14,17
regular,00076,6076,12,51,0,0,51,12
regular,00077,64,18,15,0,0,15,18
regular,00078,85,3,3,0,0,3,3
regular,00079,6,2,1,0,0,1,2
regular,00080,2,1,0,0,0,0,1
regular,00081,8,1,0,0,0,0,1
regular,00082,651,29,28,0,0,28,29
regular,00083,2115,23,2,0,0,2,23
regular,00084,34,11,1614,0,2,1616,11
regular,00085,55,3,37,0,0,37,3
regular,00086,135,3,3,0,0,3,3
regular,00087,13,3,2,0,0,2,3
regular,00088,80,17,13,0,0,13,17
regular,00089,29,13,3,0,0,3,13
regular,00090,1,0,0,0,0,0,0
regular,00091,1,0,0,0,0,0,0
regular,00092,4,8,0,0,0,0,8
regular,00093,1,1,0,0,0,0,1
regular,00094,45,0,0,0,0,0,0
regular,00095,2,3,0,0,0,0,3
regular,00096,3,0,0,0,0,0,0
regular,00097,761,21,1,0,0,1,21
regular,00098,10,5,0,0,0,0,5
regular,00099,19,14,2,0,0,2,14
regular,00100,34,4,3,0,0,3,4
regular,00101,280,92,2,136,0,2,228
regular,00102,39,4,1,0,0,1,4
regular,00103,3,0,1,0,0,1,0
regular,00104,24,7,0,0,0,0,7
regular,00105,3,6,1,0,0,1,6
regular,00106,1,0,0,0,0,0,0
regular,00107,11,2,1,0,0,1,2
regular,00108,1,1,0,0,0,0,1
regular,00109,2,0,0,0,0,0,0
regular,00110,13,10,15,0,0,15,10
regular,00111,2,2,0,0,0,0,2
regular,00112,6,0,1,0,0,1,0
regular,00113,10,1,0,0,0,0,1
regular,00114,8,9,1,0,0,1,9
regular,00115,3,4,10,0,0,10,4
regular,00116,289,7,2,0,0,2,7
regular,00117,7,3,0,0,0,0,3
regular,00118,3,1,0,0,0,0,1
regular,00119,4,2,0,0,0,0,2
regular,00120,10,1,0,0,0,0,1
regular,00121,54,11,2,0,0,2,11
regular,00122,18,11,2,0,0,2,11
regular,00123,624,13,8,0,0,8,13
regular,00124,48,13,22,0,0,22,13
regular,00125,1,0,0,0,0,0,0
regular,00126,2,0,0,0,0,0,0
regular,00127,24,9,3,0,0,3,9
regular,00128,6,6,11,0,0,11,6
regular,00129,220,10,26,0,0,26,10
regular,00130,356,32,101,0,1,102,32
regular,00131,12,14,25,0,1,26,14
regular,00132,10,13,4,0,0,4,13
regular,00133,1902,13,5,0,1,6,13
regular,00134,4,5,1,0,0,1,5
regular,00135,154,36,64,28,0,64,64
regular,00136,830,18,11,0,0,11,18
regular,00137,6082,45,92,30,0,92,75
regular,00138,706,25,3,0,0,3,25
regular,00139,2,2,4,0,0,4,2
regular,00140,3,5,6,0,0,6,5
regular,00141,424,9,3,2,0,3,11
regular,00142,9,5,0,0,0,0,5
regular,00143,2,2,0,0,0,0,2
regular,00144,4,0,0,0,0,0,0
regular,00145,2,6,0,0,0,0,6
regular,00146,2,1,0,0,0,0,1
regular,00147,21,4,0,0,0,0,4
regular,00148,112,3,2,0,0,2,3
regular,00149,8,3,15,0,0,15,3
regular,00150,3,1,0,0,0,0,1
regular,00151,11,4,10,0,0,10,4
regular,00152,8,5,0,0,0,0,5
regular,00153,19,0,0,0,0,0,0
regular,00154,47,6,13,0,0,13,6
regular,00155,27,8,1,0,0,1,8
regular,00156,1932,8,7,0,0,7,8
regular,00157,19,3,0,0,0,0,3
regular,00158,3,0,2,0,0,2,0
regular,00159,2,0,0,0,0,0,0
regular,00160,5,3,11,0,0,11,3
regular,00161,22,2,1,0,0,1,2
regular,00162,17,2,0,0,0,0,2
regular,00163,3,0,0,0,0,0,0
regular,00164,5,1,0,0,0,0,1
regular,00165,18,5,3,0,0,3,5
regular,00166,3,1,1,0,0,1,1
regular,00167,15,5,2,0,0,2,5
regular,00168,8,4,3,0,0,3,4
regular,00169,35,10,17,0,0,17,10
regular,00170,13,4,2,0,0,2,4
regular,00171,11,3,4,0,0,4,3
regular,00172,12,9,5,0,0,5,9
regular,00173,12,5,13,0,0,13,5
regular,00174,17,5,8,0,0,8,5
regular,00175,4,8,1,0,0,1,8
regular,00176,2,1,0,0,0,0,1
regular,00177,4,1,0,0,0,0,1
regular,00178,2,1,0,0,0,0,1
regular,00179,2,1,0,0,0,0,1
regular,00180,3,1,1,0,0,1,1
regular,00181,3,4,3,0,0,3,4
regular,00182,6,1,0,0,0,0,1
regular,00183,2,6,1,0,0,1,6
regular,00184,2,3,0,0,0,0,3
regular,00185,2,1,0,0,0,0,1
regular,00186,6,0,0,0,0,0,0
regular,00187,30,7,6,0,0,6,7
regular,00188,10,9,0,0,0,0,9
regular,00189,1,2,0,0,0,0,2
regular,00190,5,17,11,0,0,11,17
regular,00191,1,6,0,0,0,0,6
regular,00192,20,6,20,0,0,20,6
regular,00193,20,12,14,0,0,14,12
regular,00194,5,2,4,0,0,4,2
regular,00195,1,0,0,0,0,0,0
regular,00196,1,2,0,0,0,0,2
regular,00197,1,0,0,0,0,0,0
regular,00198,6,20,0,0,0,0,20
regular,00199,18,1,17,0,0,17,1
regular,00200,10,13,0,0,0,0,13
regular,00201,1,7,0,0,0,0,7
regular,00202,1,6,0,0,0,0,6
regular,00203,65,25,0,0,0,0,25
regular,00204,66,18,0,0,0,0,18
regular,00205,6,5,1,0,0,1,5
regular,00206,1,5,0,0,0,0,5
regular,00207,10,12,13,0,0,13,12
regular,00208,1,5,0,0,0,0,5
regular,00209,24,9,0,0,0,0,9
regular,00210,1,2,0,0,0,0,2
regular,00211,1,1,1,0,0,1,1
regular,00212,2017,21,9,38,0,9,59
regular,00213,3,3,1,0,0,1,3
regular,00214,3,4,0,0,0,0,4
regular,00215,3,5,2,0,0,2,5
regular,00216,3,7,4,0,0,4,7
regular,00217,3,4,0,0,0,0,4
regular,00218,3,1,0,0,0,0,1
regular,00219,3,15,1,0,0,1,15
regular,00220,3,1,0,0,0,0,1
regular,00221,3,1,0,0,0,0,1
regular,00222,59,10,1,0,0,1,10
regular,00223,186,17,3,0,0,3,17
regular,00224,14,0,3,0,0,3,0
regular,00225,1690,13,6,0,0,6,13
regular,00226,8,13,20,2,0,20,15
regular,00227,1,5,0,0,0,0,5
regular,00228,1691,19,1,0,0,1,19
regular,00229,20,8,0,0,0,0,8
regular,00230,20,6,0,0,0,0,6
regular,00231,20,8,0,0,0,0,8
regular,00232,20,6,0,0,0,0,6
regular,00233,32,7,0,0,0,0,7
regular,00234,20,8,0,0,0,0,8
regular,00235,20,7,0,0,0,0,7
regular,00236,20,7,0,0,0,0,7
regular,00237,30,11,5,0,0,5,11
regular,00238,5,2,3,0,0,3,2
regular,00239,1368,8,20,0,0,20,8
regular,00240,6,2,0,0,0,0,2
regular,00241,6,1,0,0,0,0,1
regular,00242,6,1,0,0,0,0,1
regular,00243,22,2,1,0,0,1,2
regular,00244,6,2,0,0,0,0,2
regular,00245,6,1,0,0,0,0,1
regular,00246,6,2,0,0,0,0,2
regular,00247,6,1,0,0,0,0,1
regular,00248,6,1,0,0,0,0,1
regular,00249,6,2,1,0,0,1,2
regular,00250,6,1,0,0,0,0,1
regular,00251,6,1,0,0,0,0,1
regular,00252,6,0,0,0,0,0,0
regular,00253,24,3,1,0,0,1,3
regular,00254,6,1,0,0,0,0,1
regular,00255,21,1,0,0,0,0,1
regular,00256,6,0,0,0,0,0,0
regular,00257,6,1,0,0,0,0,1
regular,00258,6,1,0,0,0,0,1
regular,00259,6,1,0,0,0,0,1
regular,00260,6,1,0,0,0,0,1
regular,00261,6,1,0,0,0,0,1
regular,00262,6,2,1,0,0,1,2
regular,00263,6,1,0,0,0,0,1
regular,00264,6,1,1,0,0,1,1
regular,00265,6,2,1,0,0,1,2
regular,00266,6,1,0,0,0,0,1
regular,00267,225,3,1,0,0,1,3
regular,00268,210,2,1,0,0,1,2
regular,00269,54,2,0,0,0,0,2
regular,00270,18,3,1,0,0,1,3
regular,00271,6,0,0,0,0,0,0
regular,00272,6,2,0,0,0,0,2
regular,00273,66,2,1,0,0,1,2
regular,00274,10,1,0,0,0,0,1
regular,00275,6,2,1,0,0,1,2
regular,00276,2,0,1,0,0,1,0
regular,00277,36,21,0,0,0,0,21
regular,00278,21,11,81,0,0,81,11
regular,00279,380,13,27,0,0,27,13
regular,00280,34,0,16,0,0,16,0
regular,00281,9,10,21,0,0,21,10
regular,00282,1,2,0,0,0,0,2
regular,00283,2,4,11,0,0,11,4
regular,00284,82,8,1,0,0,1,8
regular,00285,24,5,1,0,0,1,5
regular,00286,74,6,3,0,0,3,6
regular,00287,36,8,5,0,0,5,8
regular,00288,1221,469,35,1508,0,35,1977
regular,00289,968,7,26,0,0,26,7
regular,00290,1,2,20,0,0,20,2
regular,00291,1,0,1,0,0,1,0
regular,00292,4,3,0,0,0,0,3
regular,00293,3,3,0,0,0,0,3
regular,00294,4,2,1,0,0,1,2
regular,00295,2,1,0,0,0,0,1
regular,00296,2,0,0,0,0,0,0
regular,00297,50,1,0,0,0,0,1
regular,00298,50,3,0,0,0,0,3
regular,00299,39620,2,0,0,0,0,2
regular,00300,14,7,0,0,0,0,7
regular,00301,8,1,0,0,0,0,1
regular,00302,8,0,1,0,0,1,0
regular,00303,8,5,0,0,0,0,5
regular,00304,33,10,2,0,0,2,10
regular,00305,1,2,0,0,0,0,2
regular,00306,2,2,1,0,0,1,2
regular,00307,3,3,6,0,0,6,3
regular,00308,1,2,0,0,0,0,2
regular,00309,30,7,1,0,0,1,7
regular,00310,1,0,0,0,0,0,0
regular,00311,1,1,0,0,0,0,1
regular,00312,1,2,0,0,0,0,2
regular,00313,1,1,0,0,0,0,1
regular,00314,2,3,0,0,0,0,3
regular,00315,1,2,0,0,0,0,2
regular,00316,1,2,0,0,0,0,2
regular,00317,1,1,0,0,0,0,1
regular,00318,1,1,0,0,0,0,1
regular,00319,1,2,0,0,0,0,2
regular,00320,1,2,0,0,0,0,2
regular,00321,1,1,0,0,0,0,1
regular,00322,1,1,0,0,0,0,1
regular,00323,1,2,0,0,0,0,2
regular,00324,1,1,0,0,0,0,1
regular,00325,1,2,0,0,0,0,2
regular,00326,1,2,0,0,0,0,2
regular,00327,1,2,0,0,0,0,2
regular,00328,1,2,0,0,0,0,2
regular,00329,1,2,0,0,0,0,2
regular,00330,1,1,0,0,0,0,1
regular,00331,2,1,0,0,0,0,1
regular,00332,1,1,0,0,0,0,1
regular,00333,1,1,0,0,0,0,1
regular,00334,1,1,0,0,0,0,1
regular,00335,3,1,0,0,0,0,1
regular,00336,1,1,0,0,0,0,1
regular,00337,1,1,0,0,0,0,1
regular,00338,1,1,0,0,0,0,1
regular,00339,1,2,0,0,0,0,2
regular,00340,1,2,0,0,0,0,2
regular,00341,1,1,0,0,0,0,1
regular,00342,3,4,0,0,0,0,4
regular,00343,1,2,0,0,0,0,2
regular,00344,1,1,0,0,0,0,1
regular,00345,1,2,0,0,0,0,2
regular,00346,7,5,2,0,0,2,5
regular,00347,7,7,2,0,0,2,7
regular,00348,1,7,0,0,0,0,7
regular,00349,1,2,0,0,0,0,2
regular,00350,1,0,0,0,0,0,0
regular,00351,26,9,0,0,0,0,9
regular,00352,6,9,2,0,0,2,9
regular,00353,13,11,39,0,0,39,11
regular,00354,44,17,0,0,0,0,17
regular,00355,4,3,0,0,0,0,3
regular,00356,2,0,0,0,0,0,0
regular,00357,3,0,1,0,0,1,0
regular,00358,4,3,3,0,0,3,3
regular,00359,4,6,1,0,0,1,6
regular,00360,2,0,0,0,0,0,0
regular,00361,2,0,1,0,0,1,0
regular,00362,6,1,1,0,0,1,1
regular,00363,1,3,0,0,0,0,3
regular,00364,1,2,0,0,0,0,2
regular,00365,3,2,0,0,0,0,2
illfitting,00366,5,2,1,0,0,1,2
illfitting,00367,2,2,0,0,0,0,2
illfitting,00368,2,2,0,0,0,0,2
illfitting,00369,2,2,2,0,0,2,2
illfitting,00370,2,1,0,0,0,0,1
illfitting,00371,2,2,0,0,0,0,2
illfitting,00372,2,2,0,0,0,0,2
illfitting,00373,3,1,1,0,0,1,1
illfitting,00374,2,2,0,0,0,0,2
illfitting,00375,2,2,0,0,0,0,2
illfitting,00376,4,2,1,0,0,1,2
illfitting,00377,2,1,0,0,0,0,1
illfitting,00378,2,2,1,0,0,1,2
illfitting,00379,2,2,0,0,0,0,2
illfitting,00380,4,1,1,0,0,1,1
illfitting,00381,6,1,1,0,0,1,1
illfitting,00382,2,1,0,0,0,0,1
illfitting,00383,2,2,0,0,0,0,2
illfitting,00384,2,2,0,0,0,0,2
illfitting,00385,2,1,0,0,0,0,1
illfitting,00386,2,1,0,0,0,0,1
illfitting,00387,2,1,0,0,0,0,1
illfitting,00388,2,1,0,0,0,0,1
illfitting,00389,257,5,14,0,0,14,5
illfitting,00390,22,3,6,0,0,6,3
illfitting,00391,22,8,8,0,0,8,8
illfitting,00392,61,7,2,0,0,2,7
illfitting,00393,89,4,2,0,0,2,4
illfitting,00394,39,9,8,0,0,8,9
illfitting,00395,54,6,10,0,0,10,6
illfitting,00396,33,4,4,0,0,4,4
illfitting,00397,25,4,3,0,0,3,4
illfitting,00398,27,2,2,0,0,2,2
illfitting,00399,802,5,6,0,0,6,5
illfitting,00400,1867,7,6,0,0,6,7
illfitting,00401,22,2,0,0,0,0,2
illfitting,00402,154,5,5,0,0,5,5
illfitting,00403,33,4,5,0,0,5,4
illfitting,00404,33,3,4,0,0,4,3
illfitting,00405,2,2,3,0,0,3,2
illfitting,00406,5,2,3,0,0,3,2
illfitting,00407,5,2,3,0,0,3,2
illfitting,00408,3522,8,2,0,0,2,8
illfitting,00409,422,5,3,0,0,3,5
illfitting,00410,8,3,0,0,0,0,3
illfitting,00411,22,3,4,0,0,4,3
illfitting,00412,8,3,3,0,0,3,3
illfitting,00413,26,2,8,0,0,8,2
illfitting,00414,21,2,2,0,0,2,2
illfitting,00415,4,2,4,0,0,4,2
illfitting,00416,30,2,2,0,0,2,2
illfitting,00417,22,2,0,0,0,0,2
illfitting,00418,22,3,6,0,0,6,3
illfitting,00419,22,2,0,0,0,0,2
illfitting,00420,8,2,6,0,0,6,2
illfitting,00421,22,3,0,0,0,0,3
illfitting,00422,22,2,0,0,0,0,2
illfitting,00423,27,3,4,0,0,4,3
illfitting,00424,8,1,0,0,0,0,1
illfitting,00425,8,2,0,0,0,0,2
illfitting,00426,82,5,6,0,0,6,5
illfitting,00427,22,1,0,0,0,0,1
illfitting,00428,22,2,0,0,0,0,2
illfitting,00429,24,2,4,0,0,4,2
illfitting,00430,22,3,0,0,0,0,3
illfitting,00431,22,2,0,0,0,0,2
illfitting,00432,22,2,0,0,0,0,2
illfitting,00433,22,2,0,0,0,0,2
illfitting,00434,8,2,0,0,0,0,2
illfitting,00435,26,2,4,0,0,4,2
illfitting,00436,22,2,0,0,0,0,2
illfitting,00437,22,3,0,0,0,0,3
illfitting,00438,22,3,0,0,0,0,3
illfitting,00439,22,2,1,0,0,1,2
illfitting,00440,24,5,2,0,0,2,5
illfitting,00441,472,4,6,0,0,6,4
illfitting,00442,27,2,5,0,0,5,2
illfitting,00443,342,5,4,0,0,4,5
illfitting,00444,22,2,0,0,0,0,2
illfitting,00445,22,2,0,0,0,0,2
illfitting,00446,22,2,0,0,0,0,2
illfitting,00447,306,6,4,0,0,4,6
illfitting,00448,289,7,11,0,0,11,7
illfitting,00449,28,4,13,0,0,13,4
illfitting,00450,29,5,2,0,0,2,5
illfitting,00451,1077,6,7,0,0,7,6
illfitting,00452,8,2,0,0,0,0,2
illfitting,00453,22,2,0,0,0,0,2
illfitting,00454,22,2,4,0,0,4,2
illfitting,00455,22,2,0,0,0,0,2
illfitting,00456,22,1,0,0,0,0,1
illfitting,00457,16,2,7,0,0,7,2
illfitting,00458,22,4,0,0,0,0,4
illfitting,00459,22,2,0,0,0,0,2
illfitting,00460,30,2,7,0,0,7,2
illfitting,00461,22,3,0,0,0,0,3
illfitting,00462,18,3,7,0,0,7,3
illfitting,00463,22,2,7,0,0,7,2
illfitting,00464,1737,6,4,0,0,4,6
illfitting,00465,8,2,4,0,0,4,2
illfitting,00466,22,3,3,0,0,3,3
illfitting,00467,22,2,6,0,0,6,2
illfitting,00468,309,5,7,0,0,7,5
illfitting,00469,22,2,7,0,0,7,2
illfitting,00470,22,3,3,0,0,3,3
illfitting,00471,22,2,8,0,0,8,2
illfitting,00472,22,3,7,0,0,7,3
illfitting,00473,22,3,7,0,0,7,3
illfitting,00474,22,2,7,0,0,7,2
illfitting,00475,13,2,3,0,0,3,2
illfitting,00476,22,4,8,0,0,8,4
illfitting,00477,22,2,8,0,0,8,2
illfitting,00478,20,5,4,0,0,4,5
illfitting,00479,24,3,8,0,0,8,3
illfitting,00480,23,2,6,0,0,6,2
illfitting,00481,22,2,7,0,0,7,2
illfitting,00482,29,3,7,0,0,7,3
illfitting,00483,22,2,6,0,0,6,2
illfitting,00484,27,3,8,0,0,8,3
illfitting,00485,32,3,8,0,0,8,3
illfitting,00486,27,4,8,0,0,8,4
illfitting,00487,22,2,3,0,0,3,2
illfitting,00488,21,2,7,0,0,7,2
illfitting,00489,22,2,6,0,0,6,2
illfitting,00490,25,2,6,0,0,6,2
illfitting,00491,27,3,7,0,0,7,3
illfitting,00492,20,1,6,0,0,6,1
illfitting,00493,239,5,7,0,0,7,5
illfitting,00494,22,2,0,0,0,0,2
illfitting,00495,22,2,7,0,0,7,2
illfitting,00496,22,3,7,0,0,7,3
illfitting,00497,8,1,2,0,0,2,1
illfitting,00498,41,4,4,0,0,4,4
illfitting,00499,41,2,4,0,0,4,2
illfitting,00500,22,2,3,0,0,3,2
illfitting,00501,16,3,2,0,0,2,3
illfitting,00502,16,3,2,0,0,2,3
illfitting,00503,24,3,8,0,0,8,3
illfitting,00504,25,3,6,0,0,6,3
illfitting,00505,24,2,8,0,0,8,2
illfitting,00506,27,2,8,0,0,8,2
illfitting,00507,22,2,0,0,0,0,2
illfitting,00508,22,3,6,0,0,6,3
illfitting,00509,199,8,17,0,0,17,8
illfitting,00510,22,2,0,0,0,0,2
illfitting,00511,673,7,3,0,0,3,7
illfitting,00512,22,4,0,0,0,0,4
illfitting,00513,1259,6,3,0,0,3,6
illfitting,00514,22,3,0,0,0,0,3
illfitting,00515,307,5,3,0,0,3,5
illfitting,00516,605,6,3,0,0,3,6
illfitting,00517,70,3,6,0,0,6,3
illfitting,00518,68,3,6,0,0,6,3
illfitting,00519,92,3,6,0,0,6,3
illfitting,00520,82,2,6,0,0,6,2
illfitting,00521,4043,6,5,0,0,5,6
illfitting,00522,4500,6,6,0,0,6,6
illfitting,00523,25,4,3,0,0,3,4
illfitting,00524,2696,6,6,0,0,6,6
illfitting,00525,8,1,2,0,0,2,1
illfitting,00526,22,3,6,0,0,6,3
illfitting,00527,720,6,6,0,0,6,6
illfitting,00528,65,2,2,0,0,2,2
illfitting,00529,22,2,9,0,0,9,2
illfitting,00530,22,2,0,0,0,0,2
illfitting,00531,25,2,3,0,0,3,2
illfitting,00532,8,2,0,0,0,0,2
illfitting,00533,8,3,8,0,0,8,3
illfitting,00534,1223,6,6,0,0,6,6
illfitting,00535,8,2,1,0,0,1,2
illfitting,00536,8,3,0,0,0,0,3
illfitting,00537,3178,7,6,0,0,6,7
illfitting,00538,8,6,0,0,0,0,6
illfitting,00539,22,5,0,0,0,0,5
illfitting,00540,22,3,0,0,0,0,3
illfitting,00541,22,4,0,0,0,0,4
illfitting,00542,8,3,0,0,0,0,3
illfitting,00543,22,5,0,0,0,0,5
illfitting,00544,20,4,0,0,0,0,4
illfitting,00545,22,4,0,0,0,0,4
illfitting,00546,837,8,6,0,0,6,8
illfitting,00547,35,4,6,0,0,6,4
illfitting,00548,120,11,10,0,0,10,11
illfitting,00549,573,12,10,2,2,12,14
illfitting,00550,411,8,10,0,0,10,8
illfitting,00551,25,6,8,0,0,8,6
illfitting,00552,22,4,9,0,0,9,4
illfitting,00553,27,5,6,0,0,6,5
illfitting,00554,2056,13,9,0,0,9,13
illfitting,00555,120,9,7,0,0,7,9
illfitting,00556,770,10,8,0,0,8,10
illfitting,00557,8,4,2,0,0,2,4
illfitting,00558,8,6,2,0,0,2,6
illfitting,00559,3,3,0,0,0,0,3
illfitting,00560,3,3,0,0,0,0,3
illfitting,00561,3,2,0,0,0,0,2
illfitting,00562,3,3,0,0,0,0,3
illfitting,00563,3,3,0,0,0,0,3
illfitting,00564,2,3,0,0,0,0,3
illfitting,00565,2,1,1,0,0,1,1
illfitting,00566,5,4,3,0,0,3,4
illfitting,00567,3,3,2,0,0,2,3
illfitting,00568,8,6,1,0,0,1,6
illfitting,00569,3,4,2,0,0,2,4
illfitting,00570,3,2,0,0,0,0,2
illfitting,00571,3,2,0,0,0,0,2
illfitting,00572,96,5,4,0,0,4,5
illfitting,00573,3,3,0,0,0,0,3
illfitting,00574,3,3,0,0,0,0,3
illfitting,00575,2,4,0,0,0,0,4
illfitting,00576,2,3,0,0,0,0,3
illfitting,00577,3,3,0,0,0,0,3
illfitting,00578,3,4,2,0,0,2,4
illfitting,00579,3,5,1,0,0,1,5
illfitting,00580,3,3,1,0,0,1,3
illfitting,00581,3,4,0,0,0,0,4
illfitting,00582,9,4,2,0,0,2,4
illfitting,00583,3,4,0,0,0,0,4
illfitting,00584,8,6,2,0,0,2,6
illfitting,00585,61,6,7,0,0,7,6
illfitting,00586,4,3,2,0,0,2,3
illfitting,00587,58,8,3,1,1,4,9
illfitting,00588,3,5,1,0,0,1,5
illfitting,00589,3,4,0,0,0,0,4
illfitting,00590,3,3,0,0,0,0,3
illfitting,00591,4,3,2,0,0,2,3
illfitting,00592,123,10,2,1,1,3,11
illfitting,00593,3,4,2,0,0,2,4
illfitting,00594,3,2,0,0,0,0,2
illfitting,00595,3,3,0,0,0,0,3
illfitting,00596,3,3,2,0,0,2,3
illfitting,00597,3,3,0,0,0,0,3
illfitting,00598,3,3,0,0,0,0,3
illfitting,00599,3,3,0,0,0,0,3
illfitting,00600,3,3,0,0,0,0,3
illfitting,00601,3,4,2,0,0,2,4
illfitting,00602,2,5,0,0,0,0,5
illfitting,00603,3,4,0,0,0,0,4
illfitting,00604,3,3,3,0,0,3,3
illfitting,00605,20,7,2,0,0,2,7
illfitting,00606,28,9,4,0,0,4,9
illfitting,00607,3,3,5,0,0,5,3
illfitting,00608,3,4,4,0,0,4,4
illfitting,00609,3,3,4,0,0,4,3
illfitting,00610,56,8,2,0,0,2,8
illfitting,00611,125,9,7,0,0,7,9
illfitting,00612,5,4,2,0,0,2,4
illfitting,00613,7,6,2,0,0,2,6
illfitting,00614,3,3,0,0,0,0,3
illfitting,00615,5,4,2,0,0,2,4
illfitting,00616,12,6,7,0,0,7,6
illfitting,00617,41,7,7,0,0,7,7
illfitting,00618,3,3,2,0,0,2,3
illfitting,00619,3,6,0,0,0,0,6
illfitting,00620,2,3,0,0,0,0,3
illfitting,00621,3,5,0,0,0,0,5
illfitting,00622,2,3,0,0,0,0,3
illfitting,00623,2,3,1,0,0,1,3
illfitting,00624,6,4,2,0,0,2,4
illfitting,00625,2,3,0,0,0,0,3
illfitting,00626,2,3,3,0,0,3,3
illfitting,00627,4,3,3,0,0,3,3
illfitting,00628,2,3,2,0,0,2,3
illfitting,00629,2,2,0,0,0,0,2
illfitting,00630,2,2,0,0,0,0,2
illfitting,00631,4,5,2,0,0,2,5
illfitting,00632,8,4,2,0,0,2,4
illfitting,00633,2,2,0,0,0,0,2
illfitting,00634,17,7,7,1,1,8,8
illfitting,00635,2,3,0,0,0,0,3
illfitting,00636,2,3,0,0,0,0,3
illfitting,00637,97,10,7,1,1,8,11
illfitting,00638,2,3,0,0,0,0,3
illfitting,00639,2,3,1,0,0,1,3
illfitting,00640,2,2,0,0,0,0,2
illfitting,00641,2,3,0,0,0,0,3
illfitting,00642,2,3,3,0,0,3,3
illfitting,00643,18,6,3,0,0,3,6
illfitting,00644,3,4,2,0,0,2,4
illfitting,00645,3,4,2,0,0,2,4
illfitting,00646,2,3,1,0,0,1,3
illfitting,00647,2,2,0,0,0,0,2
illfitting,00648,109,10,3,2,1,4,12
illfitting,00649,11,5,3,0,0,3,5
illfitting,00650,2,3,0,0,0,0,3
illfitting,00651,2,3,1,0,0,1,3
illfitting,00652,2,5,2,0,0,2,5
illfitting,00653,24,9,2,0,0,2,9
illfitting,00654,2,3,0,0,0,0,3
illfitting,00655,12,5,1,0,0,1,5
illfitting,00656,2,3,2,0,0,2,3
illfitting,00657,2,2,0,0,0,0,2
regular,00658,2,3,0,0,0,0,3
regular,00659,2,1,0,0,0,0,1
regular,00660,3,2,1,0,0,1,2
regular,00661,1410,73,11,0,0,11,73
