service_type,service_id,num_instances,num_fan_out_reg,num_fan_in_reg,num_fan_out_ill,num_fan_in_ill,num_fan_in_all,num_fan_out_all
regular,00000,238,26,18,0,0,18,26
regular,00001,322,35,33,0,0,33,35
regular,00002,1,1,0,0,0,0,1
regular,00003,6,1,5,0,0,5,1
regular,00004,56,77,84,0,0,84,77
regular,00005,8628,81,70,0,0,70,81
regular,00006,19,0,0,0,0,0,0
regular,00007,25,22,16,0,0,16,22
regular,00008,56,18,15,0,0,15,18
regular,00009,32,10,17,0,0,17,10
regular,00010,80,50,69,0,0,69,50
regular,00011,1920,36,31,0,0,31,36
regular,00012,30,6,7,0,0,7,6
regular,00013,12,14,6,0,0,6,14
regular,00014,10,4,3,0,0,3,4
regular,00015,10,5,1,0,0,1,5
regular,00016,4,1,0,0,0,0,1
regular,00017,67,10,3,0,0,3,10
regular,00018,6,3,0,0,0,0,3
regular,00019,33,31,30,0,0,30,31
regular,00020,44,36,44,0,0,44,36
regular,00021,35,29,26,0,0,26,29
regular,00022,21,4,5,0,0,5,4
regular,00023,10,8,4,0,0,4,8
regular,00024,36,4,4,0,0,4,4
regular,00025,5,3,1,0,0,1,3
regular,00026,108,11,7,0,0,7,11
regular,00027,78,10,5,0,0,5,10
regular,00028,250,11,5,0,0,5,11
regular,00029,9243,17,15,0,0,15,17
regular,00030,7245,7,5,0,0,5,7
regular,00031,28,6,6,0,0,6,6
regular,00032,14,6,3,0,0,3,6
regular,00033,66,33,47,0,0,47,33
regular,00034,6,18,16,0,0,16,18
regular,00035,208,23,21,0,0,21,23
regular,00036,12,42,57,0,0,57,42
regular,00037,116,14,9,0,0,9,14
regular,00038,12,4,3,0,0,3,4
regular,00039,228,28,39,0,0,39,28
regular,00040,34,45,36,0,0,36,45
regular,00041,56,12,6,0,0,6,12
regular,00042,768,27,21,0,0,21,27
regular,00043,35,22,18,0,0,18,22
regular,00044,175,10,5,0,0,5,10
regular,00045,960,24,20,0,0,20,24
regular,00046,14,9,4,0,0,4,9
regular,00047,350,28,23,0,0,23,28
regular,00048,387,53,43,0,0,43,53
regular,00049,100,18,12,0,0,12,18
regular,00050,39,13,11,0,0,11,13
regular,00051,11,9,4,0,0,4,9
regular,00052,19,6,3,0,0,3,6
regular,00053,28,15,11,0,0,11,15
regular,00054,224,15,10,0,0,10,15
regular,00055,8,28,29,0,0,29,28
regular,00056,12,13,8,0,0,8,13
regular,00057,8,12,11,0,0,11,12
regular,00058,659,48,48,0,0,48,48
regular,00059,9,5,0,0,0,0,5
regular,00060,1344,9,7,0,0,7,9
regular,00061,53,22,20,0,0,20,22
regular,00062,6,1,2,0,0,2,1
regular,00063,32,11,5,0,0,5,11
regular,00064,48,28,40,0,0,40,28
regular,00065,3,0,1,0,0,1,0
regular,00066,6,3,2,0,0,2,3
regular,00067,16,15,10,0,0,10,15
