service_type,service_id,num_endpoints
regular,16898,1
illfitting,01106,1
regular,13624,31
illfitting,16474,3
illfitting,06165,1
regular,04574,5
illfitting,01273,1
illfitting,00482,2
illfitting,14397,2
illfitting,05801,1
regular,17542,7
regular,12667,3
illfitting,03868,1
regular,06694,2
illfitting,16570,2
regular,17568,2
illfitting,08910,1
regular,12480,1
illfitting,02608,1
regular,01009,3
illfitting,02805,1
regular,18251,1
regular,02395,3
regular,06690,3
regular,02535,22
illfitting,15008,1
illfitting,06135,1
illfitting,02676,1
illfitting,04803,1
illfitting,15395,1
illfitting,05421,1
illfitting,14210,1
illfitting,17383,2
regular,17820,10
illfitting,18538,4
illfitting,04750,1
regular,12852,2
illfitting,15866,1
illfitting,10934,1
regular,07379,5
illfitting,15148,1
illfitting,09466,1
illfitting,16619,1
illfitting,15151,1
illfitting,00634,1
illfitting,13032,1
illfitting,02991,1
regular,13565,1
regular,03310,1
illfitting,10250,1
illfitting,14976,1
regular,18214,2
illfitting,06972,1
regular,03232,3
illfitting,09597,1
regular,12264,1
regular,09764,4
regular,07839,2
illfitting,17240,1
illfitting,16472,1
regular,16790,2
illfitting,15458,1
illfitting,15747,2
illfitting,06158,1
illfitting,01683,3
illfitting,12985,1
illfitting,15956,1
illfitting,08240,1
regular,18571,6
illfitting,13993,1
regular,16757,9
illfitting,02714,1
illfitting,15662,1
regular,10545,3
illfitting,08378,1
illfitting,15961,1
illfitting,00607,1
illfitting,15894,1
illfitting,15243,1
illfitting,11365,1
regular,14481,10
illfitting,00493,2
regular,09799,3
illfitting,11629,1
regular,03536,3
illfitting,01363,2
illfitting,16656,3
illfitting,17281,1
illfitting,01372,1
illfitting,16633,2
illfitting,16640,2
illfitting,11271,1
illfitting,09853,1
illfitting,10071,1
illfitting,11408,2
regular,03188,2
illfitting,00569,1
illfitting,16167,1
illfitting,05346,3
regular,12606,2
illfitting,09133,1
illfitting,17278,1
illfitting,15158,1
illfitting,17155,1
illfitting,08369,1
illfitting,15779,2
illfitting,08667,1
illfitting,06911,1
illfitting,07483,2
illfitting,09557,1
illfitting,15740,1
illfitting,02959,1
illfitting,11954,1
regular,12677,84
regular,05728,3
regular,06486,10
illfitting,06073,1
regular,01564,22
regular,06676,4
illfitting,02861,1
regular,07370,2
regular,14884,2
illfitting,13196,1
illfitting,08438,1
illfitting,17408,3
illfitting,05029,1
illfitting,09528,1
regular,10076,1
illfitting,10307,1
illfitting,04919,1
illfitting,08335,1
regular,07101,1
illfitting,04218,1
illfitting,05884,2
illfitting,07971,1
illfitting,13948,1
regular,18427,8
illfitting,02956,1
regular,03173,1
illfitting,09839,1
regular,14680,2
regular,14748,2
illfitting,01485,1
illfitting,12547,3
illfitting,04607,1
illfitting,15812,1
illfitting,02297,1
illfitting,07485,1
illfitting,15648,1
illfitting,15301,1
illfitting,02940,1
illfitting,08265,1
illfitting,04001,1
illfitting,15909,1
illfitting,02776,2
illfitting,16100,1
regular,10376,5
illfitting,05768,1
illfitting,17132,2
illfitting,11614,1
illfitting,08612,1
illfitting,14998,1
illfitting,08096,1
illfitting,03634,1
illfitting,11429,2
illfitting,08322,1
illfitting,08123,1
regular,14817,1
illfitting,16142,1
illfitting,17384,2
regular,17743,2
illfitting,11242,1
regular,06630,20
illfitting,05851,1
illfitting,15901,1
